Day of the week,Day type,Time,Test target,Expected value
Sunday,Public holiday,0-8 o'clock,State,Not hungry
Sunday,Public holiday,0-8 o'clock,State,Not tired
Sunday,Public holiday,0-8 o'clock,State,Sleepy
Sunday,Public holiday,0-8 o'clock,Action,Sleeping
Sunday,Public holiday,8-9 o'clock,State,Not hungry
Sunday,Public holiday,8-9 o'clock,State,Not tired
Sunday,Public holiday,8-9 o'clock,State,Not sleepy
Sunday,Public holiday,8-9 o'clock,Action,Having breakfast
Sunday,Public holiday,9-12 o'clock,State,Not hungry
Sunday,Public holiday,9-12 o'clock,State,Not tired
Sunday,Public holiday,9-12 o'clock,State,Not sleepy
Sunday,Public holiday,9-12 o'clock,State,Joyful
Sunday,Public holiday,9-12 o'clock,Action,Going on a trip
Sunday,Public holiday,12-13 o'clock,State,Not hungry
Sunday,Public holiday,12-13 o'clock,State,Not tired
Sunday,Public holiday,12-13 o'clock,State,Not sleepy
Sunday,Public holiday,12-13 o'clock,State,Happy
Sunday,Public holiday,12-13 o'clock,State,Joyful
Sunday,Public holiday,12-13 o'clock,Action,Having lunch
Sunday,Public holiday,12-13 o'clock,Action,Going on a trip
Sunday,Public holiday,13-16 o'clock,State,Not hungry
Sunday,Public holiday,13-16 o'clock,State,Not tired
Sunday,Public holiday,13-16 o'clock,State,Not sleepy
Sunday,Public holiday,13-16 o'clock,State,Joyful
Sunday,Public holiday,13-16 o'clock,Action,Going on a trip
Sunday,Public holiday,16-19 o'clock,State,Hungry
Sunday,Public holiday,16-19 o'clock,State,Not tired
Sunday,Public holiday,16-19 o'clock,State,Not sleepy
Sunday,Public holiday,16-19 o'clock,State,Joyful
Sunday,Public holiday,16-19 o'clock,Action,Going on a trip
Sunday,Public holiday,19-20 o'clock,State,Not hungry
Sunday,Public holiday,19-20 o'clock,State,Not tired
Sunday,Public holiday,19-20 o'clock,State,Not sleepy
Sunday,Public holiday,19-20 o'clock,State,Happy
Sunday,Public holiday,19-20 o'clock,State,Joyful
Sunday,Public holiday,19-20 o'clock,Action,Having dinner
Sunday,Public holiday,19-20 o'clock,Action,Going on a trip
Sunday,Public holiday,20-24 o'clock,State,Not hungry
Sunday,Public holiday,20-24 o'clock,State,Not tired
Sunday,Public holiday,20-24 o'clock,State,Sleepy
Sunday,Public holiday,20-24 o'clock,Action,Reading a book
Sunday,Normal day,0-8 o'clock,State,Not hungry
Sunday,Normal day,0-8 o'clock,State,Not tired
Sunday,Normal day,0-8 o'clock,State,Sleepy
Sunday,Normal day,0-8 o'clock,Action,Sleeping
Sunday,Normal day,8-9 o'clock,State,Not hungry
Sunday,Normal day,8-9 o'clock,State,Not tired
Sunday,Normal day,8-9 o'clock,State,Not sleepy
Sunday,Normal day,8-9 o'clock,Action,Having breakfast
Sunday,Normal day,9-12 o'clock,State,Not hungry
Sunday,Normal day,9-12 o'clock,State,Not tired
Sunday,Normal day,9-12 o'clock,State,Not sleepy
Sunday,Normal day,9-12 o'clock,State,Joyful
Sunday,Normal day,12-13 o'clock,State,Not hungry
Sunday,Normal day,12-13 o'clock,State,Not tired
Sunday,Normal day,12-13 o'clock,State,Not sleepy
Sunday,Normal day,12-13 o'clock,State,Happy
